input,time,cpu,program
92416,170.581,A72,AES
92544,171.152,A72,AES
92672,170.904,A72,AES
92800,171.4,A72,AES
92928,171.935,A72,AES
93056,172.002,A72,AES
93184,172.211,A72,AES
93312,172.892,A72,AES
93440,172.519,A72,AES
93568,172.7,A72,AES
93696,172.975,A72,AES
93824,173.398,A72,AES
93952,174.172,A72,AES
94080,174.1,A72,AES
94208,173.734,A72,AES
94336,174.194,A72,AES
94464,175.116,A72,AES
94592,174.748,A72,AES
94720,175.032,A72,AES
94848,175.927,A72,AES
94976,176.136,A72,AES
95104,175.996,A72,AES
95232,176.69,A72,AES
95360,176.614,A72,AES
95488,177.132,A72,AES
95616,176.863,A72,AES
95744,177.367,A72,AES
95872,177.871,A72,AES
96000,177.323,A72,AES
96128,177.625,A72,AES
96256,178.041,A72,AES
96384,178.116,A72,AES
96512,179.009,A72,AES
96640,178.235,A72,AES
96768,178.654,A72,AES
96896,179.612,A72,AES
97024,179.661,A72,AES
97152,179.893,A72,AES
97280,179.236,A72,AES
97408,179.597,A72,AES
97536,179.934,A72,AES
97664,180.492,A72,AES
97792,180.797,A72,AES
97920,181.372,A72,AES
98048,181.121,A72,AES
98176,181.442,A72,AES
98304,181.936,A72,AES
98432,182.206,A72,AES
98560,182.208,A72,AES
98688,182.058,A72,AES
98816,182.421,A72,AES
98944,183.233,A72,AES
99072,183.289,A72,AES
99200,183.815,A72,AES
99328,183.439,A72,AES
99456,183.361,A72,AES
99584,184.26,A72,AES
99712,184.295,A72,AES
99840,185.04,A72,AES
99968,184.578,A72,AES
100096,184.833,A72,AES
100224,185.018,A72,AES
100352,185.768,A72,AES
100480,185.96,A72,AES
100608,186.057,A72,AES
100736,185.961,A72,AES
100864,185.781,A72,AES
100992,187.201,A72,AES
101120,186.763,A72,AES
101248,187.295,A72,AES
101376,186.815,A72,AES
101504,187.268,A72,AES
101632,187.92,A72,AES
101760,187.75,A72,AES
101888,187.741,A72,AES
102016,188.721,A72,AES
102144,188.939,A72,AES
102272,189.11,A72,AES
102400,189.619,A72,AES
102528,189.395,A72,AES
102656,189.077,A72,AES
102784,190.141,A72,AES
102912,189.873,A72,AES
103040,190.509,A72,AES
103168,190.736,A72,AES
103296,190.873,A72,AES
103424,191.618,A72,AES
103552,191.565,A72,AES
103680,191.678,A72,AES
103808,192.209,A72,AES
103936,193.575,A72,AES
104064,192.973,A72,AES
104192,193.161,A72,AES
104320,193.924,A72,AES
104448,193.378,A72,AES
104576,194.114,A72,AES
104704,193.915,A72,AES
104832,193.425,A72,AES
104960,193.573,A72,AES
105088,194.023,A72,AES
105216,194.251,A72,AES
105344,194.481,A72,AES
105472,195.252,A72,AES
105600,195.105,A72,AES
105728,195.543,A72,AES
105856,195.424,A72,AES
105984,195.617,A72,AES
106112,195.636,A72,AES
106240,197.042,A72,AES
106368,196.696,A72,AES
106496,197.329,A72,AES
106624,197.313,A72,AES
106752,197.209,A72,AES
106880,197.084,A72,AES
107008,197.62,A72,AES
107136,197.892,A72,AES
107264,199.089,A72,AES
107392,199.508,A72,AES
107520,198.757,A72,AES
107648,198.698,A72,AES
107776,199.021,A72,AES
107904,199.445,A72,AES
108032,199.68,A72,AES
108160,199.407,A72,AES
108288,200.091,A72,AES
108416,201.284,A72,AES
108544,201.212,A72,AES
108672,201.67,A72,AES
108800,201.447,A72,AES
108928,202.122,A72,AES
109056,202.346,A72,AES
109184,202.904,A72,AES
109312,202.935,A72,AES
109440,203.092,A72,AES
109568,202.594,A72,AES
109696,203.052,A72,AES
109824,203.394,A72,AES
109952,203.994,A72,AES
110080,203.678,A72,AES
110208,203.844,A72,AES
110336,204.074,A72,AES
110464,204.396,A72,AES
110592,205.058,A72,AES
110720,205.081,A72,AES
110848,205.775,A72,AES
110976,205.479,A72,AES
111104,206.117,A72,AES
111232,205.315,A72,AES
111360,205.483,A72,AES
111488,206.4,A72,AES
111616,207.108,A72,AES
111744,205.994,A72,AES
111872,206.619,A72,AES
112000,207.323,A72,AES
112128,206.875,A72,AES
112256,206.897,A72,AES
112384,207.393,A72,AES
112512,207.931,A72,AES
112640,207.757,A72,AES
112768,208.77,A72,AES
112896,208.248,A72,AES
113024,208.388,A72,AES
113152,209.486,A72,AES
113280,209.964,A72,AES
113408,210.607,A72,AES
113536,210.505,A72,AES
113664,210.121,A72,AES
113792,210.268,A72,AES
113920,211.73,A72,AES
114048,210.997,A72,AES
114176,212.519,A72,AES
114304,211.793,A72,AES
114432,212.11,A72,AES
114560,212.327,A72,AES
114688,212.043,A72,AES
114816,213.391,A72,AES
114944,212.953,A72,AES
115072,212.721,A72,AES
115200,213.754,A72,AES
115328,213.317,A72,AES
115456,214.312,A72,AES
115584,213.889,A72,AES
115712,215.175,A72,AES
115840,214.108,A72,AES
115968,214.803,A72,AES
116096,216.714,A72,AES
116224,215.945,A72,AES
116352,216.442,A72,AES
116480,216.482,A72,AES
116608,216.768,A72,AES
116736,215.933,A72,AES
116864,216.525,A72,AES
116992,216.375,A72,AES
117120,216.569,A72,AES
117248,217.161,A72,AES
117376,217.142,A72,AES
117504,217.334,A72,AES
117632,218.045,A72,AES
117760,218.425,A72,AES
117888,217.875,A72,AES
118016,219.103,A72,AES
118144,219.828,A72,AES
118272,219.547,A72,AES
118400,219.862,A72,AES
118528,219.669,A72,AES
118656,219.823,A72,AES
118784,220.582,A72,AES
118912,220.719,A72,AES
119040,221.539,A72,AES
119168,220.528,A72,AES
119296,220.481,A72,AES
119424,221.028,A72,AES
119552,221.544,A72,AES
119680,221.34,A72,AES
119808,221.925,A72,AES
119936,222.36,A72,AES
120064,222.217,A72,AES
120192,222.145,A72,AES
120320,222.287,A72,AES
120448,222.965,A72,AES
120576,223.851,A72,AES
120704,223.75,A72,AES
120832,223.744,A72,AES
120960,224.021,A72,AES
121088,224.671,A72,AES
