input,time_complexity,time,cpu,arch,program,cache_on
100,n^3,0.101101,Cortex-R5F,arm32,Matrix_Multiply,1
109,n^3,0.156065,Cortex-R5F,arm32,Matrix_Multiply,1
118,n^3,0.210089,Cortex-R5F,arm32,Matrix_Multiply,1
127,n^3,0.221604,Cortex-R5F,arm32,Matrix_Multiply,1
136,n^3,0.318099,Cortex-R5F,arm32,Matrix_Multiply,1
145,n^3,0.351154,Cortex-R5F,arm32,Matrix_Multiply,1
154,n^3,0.415426,Cortex-R5F,arm32,Matrix_Multiply,1
163,n^3,0.588453,Cortex-R5F,arm32,Matrix_Multiply,1
172,n^3,0.574774,Cortex-R5F,arm32,Matrix_Multiply,1
181,n^3,0.735574,Cortex-R5F,arm32,Matrix_Multiply,1
190,n^3,0.865616,Cortex-R5F,arm32,Matrix_Multiply,1
199,n^3,1.073243,Cortex-R5F,arm32,Matrix_Multiply,1
208,n^3,2.529749,Cortex-R5F,arm32,Matrix_Multiply,1
217,n^3,1.458711,Cortex-R5F,arm32,Matrix_Multiply,1
226,n^3,1.583622,Cortex-R5F,arm32,Matrix_Multiply,1
235,n^3,2.020868,Cortex-R5F,arm32,Matrix_Multiply,1
244,n^3,1.814859,Cortex-R5F,arm32,Matrix_Multiply,1
253,n^3,2.588523,Cortex-R5F,arm32,Matrix_Multiply,1
262,n^3,2.676742,Cortex-R5F,arm32,Matrix_Multiply,1
271,n^3,3.614968,Cortex-R5F,arm32,Matrix_Multiply,1
280,n^3,4.999257,Cortex-R5F,arm32,Matrix_Multiply,1
289,n^3,3.963415,Cortex-R5F,arm32,Matrix_Multiply,1
298,n^3,4.322794,Cortex-R5F,arm32,Matrix_Multiply,1
307,n^3,5.530374,Cortex-R5F,arm32,Matrix_Multiply,1
316,n^3,4.797769,Cortex-R5F,arm32,Matrix_Multiply,1
325,n^3,6.011761,Cortex-R5F,arm32,Matrix_Multiply,1
334,n^3,7.118707,Cortex-R5F,arm32,Matrix_Multiply,1
343,n^3,7.500179,Cortex-R5F,arm32,Matrix_Multiply,1
352,n^3,14.650311,Cortex-R5F,arm32,Matrix_Multiply,1
361,n^3,9.265527,Cortex-R5F,arm32,Matrix_Multiply,1
370,n^3,9.659604,Cortex-R5F,arm32,Matrix_Multiply,1
379,n^3,10.264138,Cortex-R5F,arm32,Matrix_Multiply,1
388,n^3,10.558348,Cortex-R5F,arm32,Matrix_Multiply,1
397,n^3,11.791168,Cortex-R5F,arm32,Matrix_Multiply,1
406,n^3,14.175811,Cortex-R5F,arm32,Matrix_Multiply,1
415,n^3,16.033412,Cortex-R5F,arm32,Matrix_Multiply,1
424,n^3,23.856219,Cortex-R5F,arm32,Matrix_Multiply,1
433,n^3,16.428862,Cortex-R5F,arm32,Matrix_Multiply,1
442,n^3,19.839476,Cortex-R5F,arm32,Matrix_Multiply,1
451,n^3,21.045979,Cortex-R5F,arm32,Matrix_Multiply,1
460,n^3,22.006386,Cortex-R5F,arm32,Matrix_Multiply,1
469,n^3,25.129648,Cortex-R5F,arm32,Matrix_Multiply,1
478,n^3,28.055336,Cortex-R5F,arm32,Matrix_Multiply,1
487,n^3,25.649473,Cortex-R5F,arm32,Matrix_Multiply,1
496,n^3,41.031939,Cortex-R5F,arm32,Matrix_Multiply,1
505,n^3,34.644384,Cortex-R5F,arm32,Matrix_Multiply,1
514,n^3,37.066996,Cortex-R5F,arm32,Matrix_Multiply,1
